Engine,NumberOfEntries
Ford,6498
Ferrari,4311
Mercedes,2812
Renault,2742
Honda,1590
Climax,802
Cosworth,792
BRM,770
BMW,700
Maserati,568
Alfa Romeo,512
Toyota,458
Judd,405
Offenhauser,394
Hart,380
RBPT,272
Yamaha,260
Lamborghini,256
Peugeot,230
Matra,181
TAG,135
Gordini,133
Ilmor,128
Zakspeed,104
Supertec,98
Playlife,98
Megatron,94
Porsche,92
Talbot Lago,83
Motori Moderni,80
Alta,80
Repco,79
Vanwall,71
Asiatech,68
Arrows,64
Bristol,49
Toro Rosso,40
Lea Francis,34
Fondmetal,34
European,34
Acer,34
Mecachrome,32
Weslake,23
Veritas,18
Osella,16
OSCA,16
Tecno,14
Lancia,13
Life,12
ATS,12
Aston Martin,11
Novi,10
ERA,10
Scarab,9
Plate,9
Subaru,8
Castellotti,7
Milano,4
Butterworth,4
Serenissima,3
Pratt Whitney,3
Borgward,3
Cummins,2
Kuchen,1
Jaguar,1
JAP,1
EMW,1
De Tomaso,1
Bugatti,1
BPM,1
